Datetime,AAPL,AMZN,GOOG,META,NFLX
2023-01-17 04:00:00-05:00,134.4,97.55,92.46,136.46,331.03
2023-01-17 04:01:00-05:00,134.43,97.88,92.46,136.46,331.03
2023-01-17 04:02:00-05:00,134.43,97.91,92.46,136.46,331.03
2023-01-17 04:03:00-05:00,134.45,97.91,92.46,136.12,331.1
2023-01-17 04:04:00-05:00,134.46,97.91,92.47999999999999,136.17,331.1
2023-01-17 04:05:00-05:00,134.5,97.91,92.5,136.12,331.03
2023-01-17 04:06:00-05:00,134.5,97.95,92.55,136.12,330.92
2023-01-17 04:07:00-05:00,134.5,97.96,92.6,136.12,330.85
2023-01-17 04:08:00-05:00,134.51,98.01,92.61,136.115,330.92
2023-01-17 04:09:00-05:00,134.53,98.03,92.61,136.12,330.92
2023-01-17 04:10:00-05:00,134.53,98.01,92.62,136.115,330.85
2023-01-17 04:11:00-05:00,134.54,98.03,92.62,136.115,330.71
2023-01-17 04:12:00-05:00,134.54,98.05,92.62,136.05,330.71
2023-01-17 04:13:00-05:00,134.54,98.05,92.62,136.04500000000002,330.71
2023-01-17 04:14:00-05:00,134.46,98.05,92.6,136.04,330.71
2023-01-17 04:15:00-05:00,134.45,98.05,92.6,136.03,330.71000000000004
2023-01-17 04:16:00-05:00,134.45,98.05,92.6,136.01,330.71000000000004
2023-01-17 04:17:00-05:00,134.45,98.05,92.6,135.95999999999998,330.8
2023-01-17 04:18:00-05:00,134.41,98.05,92.56,135.91,330.81
2023-01-17 04:19:00-05:00,134.39,98.04,92.535,135.91,330.9
2023-01-17 04:20:00-05:00,134.39,98.04,92.51,135.74,330.9
2023-01-17 04:21:00-05:00,134.39,98.04,92.5,135.77,330.9
2023-01-17 04:22:00-05:00,134.16,97.92,92.49,135.77,330.82
2023-01-17 04:23:00-05:00,134.12,97.78,92.47,135.76,330.82
2023-01-17 04:24:00-05:00,134.12,97.72,92.41,135.76,331.195
2023-01-17 04:25:00-05:00,134.12,97.71,92.41,135.76,331.195
2023-01-17 04:26:00-05:00,134.12,97.72,92.41,135.79,331.195
2023-01-17 04:27:00-05:00,134.19,97.76,92.41,135.8,331.195
2023-01-17 04:28:00-05:00,134.2,97.77,92.41,135.87,331.365
2023-01-17 04:29:00-05:00,134.21,97.77,92.41,135.94,331.365
2023-01-17 04:30:00-05:00,134.23,97.8,92.41,135.94,331.365
2023-01-17 04:31:00-05:00,134.25,97.8,92.41,135.94,331.2
2023-01-17 04:32:00-05:00,134.26,97.91,92.42,135.93,331.2
2023-01-17 04:33:00-05:00,134.26,97.92,92.42,135.93,331.34000000000003
2023-01-17 04:34:00-05:00,134.29,97.93,92.41,135.96,331.34000000000003
2023-01-17 04:35:00-05:00,134.3,97.93,92.41,136.02,331.4
2023-01-17 04:36:00-05:00,134.3,97.93,92.4,136.12,331.55
2023-01-17 04:37:00-05:00,134.35,97.93,92.4,136.12,331.773
2023-01-17 04:38:00-05:00,134.36,97.92,92.19200000000001,136.12,331.773
2023-01-17 04:39:00-05:00,134.4,97.93,92.19200000000001,136.12,331.773
2023-01-17 04:40:00-05:00,134.4,97.94,92.258,136.12,331.746
2023-01-17 04:41:00-05:00,134.4,97.94,92.324,136.12,331.719
2023-01-17 04:42:00-05:00,134.4,97.94,92.39,136.14666666666668,331.692
2023-01-17 04:43:00-05:00,134.41,97.95,92.44,136.17333333333332,331.66499999999996
2023-01-17 04:44:00-05:00,134.41,97.98,92.44333333333333,136.17333333333332,331.638
